"WY"|"jpe"|"status"|"Classification"|"hydro_type"|"hydro_type_grp"|"method"|"value"
1999|454792|"Pre-2009 BiOp (1994 to 2008)"|"Wet"|"Wet"|"Wet & Above Normal"|"LAD"|0.00816916304596386
2000|289724|"Pre-2009 BiOp (1994 to 2008)"|"Above Normal"|"Above Normal"|"Wet & Above Normal"|"LAD"|0.0201176637075285
2001|370221|"Pre-2009 BiOp (1994 to 2008)"|"Dry"|"Dry"|"Below Normal, Dry, & Critical"|"LAD"|0.054189389580818
2002|1864802|"Pre-2009 BiOp (1994 to 2008)"|"Dry"|"Dry"|"Below Normal, Dry, & Critical"|"LAD"|0.00178631833299192
2003|2136747|"Pre-2009 BiOp (1994 to 2008)"|"Above Normal"|"Above Normal"|"Wet & Above Normal"|"LAD"|0.00319016242915048
2004|1896649|"Pre-2009 BiOp (1994 to 2008)"|"Below Normal"|"Below Normal"|"Below Normal, Dry, & Critical"|"LAD"|0.00410154435533407
2005|881719|"Pre-2009 BiOp (1994 to 2008)"|"Above Normal"|"Above Normal"|"Wet & Above Normal"|"LAD"|0.00155732155028983
2006|3831286|"Pre-2009 BiOp (1994 to 2008)"|"Wet"|"Wet"|"Wet & Above Normal"|"LAD"|0.000678957404902688
2007|3739069|"Pre-2009 BiOp (1994 to 2008)"|"Dry"|"Dry"|"Below Normal, Dry, & Critical"|"LAD"|NA
2008|NA|"Pre-2009 BiOp (1994 to 2008)"|"Critical"|"Critical"|"Below Normal, Dry, & Critical"|"LAD"|NA
2009|617783|"2009 & 2019 BiOp (2009 to present)"|"Dry"|"Dry"|"Below Normal, Dry, & Critical"|"LAD"|0.00245197747429113
2010|1179633|"2009 & 2019 BiOp (2009 to present)"|"Below Normal"|"Below Normal"|"Below Normal, Dry, & Critical"|"LAD"|0.00140396207973158
2011|332012|"2009 & 2019 BiOp (2009 to present)"|"Wet"|"Wet"|"Wet & Above Normal"|"LAD"|0.0131317542739419
2012|162051|"2009 & 2019 BiOp (2009 to present)"|"Below Normal"|"Below Normal"|"Below Normal, Dry, & Critical"|"LAD"|0.0128303435338258
2013|532809|"2009 & 2019 BiOp (2009 to present)"|"Dry"|"Dry"|"Below Normal, Dry, & Critical"|"LAD"|0.00137332515028838
2014|1196387|"2009 & 2019 BiOp (2009 to present)"|"Critical"|"Critical"|"Below Normal, Dry, & Critical"|"LAD"|0.000269302491585081
2015|124521|"2009 & 2019 BiOp (2009 to present)"|"Critical"|"Critical"|"Below Normal, Dry, & Critical"|"LAD"|0.000850458958729853
2016|101716|"2009 & 2019 BiOp (2009 to present)"|"Below Normal"|"Below Normal"|"Below Normal, Dry, & Critical"|"LAD"|0.000554583349718825
2017|166189|"2009 & 2019 BiOp (2009 to present)"|"Wet"|"Wet"|"Wet & Above Normal"|"LAD"|0.000665808206319311
2018|201409|"2009 & 2019 BiOp (2009 to present)"|"Below Normal"|"Below Normal"|"Below Normal, Dry, & Critical"|"LAD"|0.00333227412876287
2019|433176|"2009 & 2019 BiOp (2009 to present)"|"Wet"|"Wet"|"Wet & Above Normal"|"LAD"|0.00130582026705081
2020|854941|"2009 & 2019 BiOp (2009 to present)"|"Dry"|"Dry"|"Below Normal, Dry, & Critical"|"LAD"|0.000230074356008192
2021|330130|"2009 & 2019 BiOp (2009 to present)"|"Critical"|"Critical"|"Below Normal, Dry, & Critical"|"LAD"|2.48689910035441e-05
2022|125038|"2009 & 2019 BiOp (2009 to present)"|"Critical"|"Critical"|"Below Normal, Dry, & Critical"|"LAD"|0.000584142420704106
2023|49924|"2009 & 2019 BiOp (2009 to present)"|"Wet"|"Wet"|"Wet & Above Normal"|"LAD"|0.00220114574152712
2024|234896|"2009 & 2019 BiOp (2009 to present)"|"Above Normal"|"Above Normal"|"Wet & Above Normal"|"LAD"|0.0179171207683399
